strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Ohio/12TOSU307/2012	JX565505	H3N2	2012-08-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU447/2012	JX565497	H3N2	2012-08-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU450/2012	JX565489	H3N2	2012-08-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU464/2012	JX565481	H3N2	2012-08-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01125992/2012	JX422431	H3N2	2012-03-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01327581/2012	JX422470	H3N2	2012-04-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Montana/A01327552/2012	JX422479	H3N2	2012-04-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01241469/2012	JX422497	H3N2	2012-02-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01300820/2012	JX657039	H3N2	2012-07-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Colorado/A01203748/2012	JX658775	H3N2	2012-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01203751/2012	JX658776	H3N2	2012-08-15	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01240867/2012	JX657719	H3N2	2012-01-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01301000/2012	JX657728	H3N2	2012-05-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01327666/2012	JX657734	H3N2	2012-04-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01240337/2011	JX657740	H3N2	2011-11-21	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01240775/2012	JX657749	H3N2	2012-01-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01240792/2012	JX657751	H3N2	2012-01-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01240575/2011	JX657765	H3N2	2011-12-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01240578/2011	JX657768	H3N2	2011-12-20	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/11SW211/2011	CY131767	H3N2	2011-08-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01300999/2012	JX657797	H3N2	2012-05-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/South_Dakota/A01300602/2012	JX657823	H3N2	2012-03-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01240774/2012	JX657826	H3N2	2012-01-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01301346/2012	JX657033	H3N2	2012-08-02	Swine	Usa	North America	Swine	swine	Swine
A/swine/England/285393/1993	CY116095	H3N2	1993-04-21	Swine	United Kingdom	Europe	Swine	swine	Swine
A/swine/Minnesota/A01300213/2012	JX657030	H3N2	2012-06-15	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01300992/2012	JX657015	H3N2	2012-07-10	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01327769/2012	JX422500	H3N2	2012-04-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01327922/2012	JX422521	H3N2	2012-05-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01241842/2012	JX422524	H3N2	2012-02-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01327747/2012	JX422533	H3N2	2012-04-26	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01327768/2012	JX422536	H3N2	2012-04-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01241840/2012	JX422554	H3N2	2012-02-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01241066/2012	JX422557	H3N2	2012-01-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01240836/2012	JX422566	H3N2	2012-01-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01241171/2012	JX422575	H3N2	2012-01-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01328451/2012	JX422578	H3N2	2012-04-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Italy/112097/2011	JX569006	H3N2	2011-05-06	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Iowa/A01243736/2012	JX647377	H3N2	2012-07-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01300022/2012	JX656961	H3N2	2012-06-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01300160/2012	JX656973	H3N2	2012-06-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01300475/2012	JX656991	H3N2	2012-07-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01300451/2012	JX657000	H3N2	2012-06-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01300194/2012	JX657003	H3N2	2012-06-21	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01301345/2012	JX657006	H3N2	2012-08-02	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01300467/2012	JX657009	H3N2	2012-07-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01300195/2012	JX657018	H3N2	2012-06-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/England/203759/1992	CY116050	H3N1	1992-03-12	Swine	United Kingdom	Europe	Swine	swine	Swine
A/swine/England/163266/1987	CY115996	H3N2	1987-XX-XX	Swine	United Kingdom	Europe	Swine	swine	Swine
A/swine/Ohio/12TOSU268/2012	JX534961	H3N2	2012-07-28	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01775461/2016	KX358883	H3N2	2016-05-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Colorado/A01775092/2016	KX358880	H3N2	2016-05-11	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/658/2019	EPI2460925	H3N2	2019-01-11	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/7727-1/2019	EPI2460995	H3N2	2019-04-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01943420/2016	KX349974	H3N2	2016-05-05	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01943266/2016	KX349971	H3N2	2016-04-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01774759/2016	KX298120	H3N2	2016-05-04	Swine	Usa	North America	Swine	swine	Swine
A/swine/Michigan/A01774374/2016	KX351183	H3N2	2016-04-28	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01945452/2015	KT995486	H3N2	2015-10-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/A01795365/2015	KT995495	H3N2	2015-10-08	Swine	Usa	North America	Swine	swine	Swine
A/feline/Guangdong/1/2011	KC422461	H3N2	2011-08-10	Feline	China	China	Feline	feline	Feline
