strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Minnesota/A01203517/2012	JX163291	H3N2	2012-05-15	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01203509/2012	JX163290	H3N2	2012-05-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01203503/2012	JX163288	H3N2	2012-05-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Michigan/A01203498/2012	JX163287	H3N2	2012-05-07	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01203492/2012	JX163286	H3N2	2012-05-04	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01203482/2012	JX163284	H3N2	2012-04-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01202621/2011	JX092409	H3N2	2011-09-28	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/A01203186/2012	JX092635	H3N2	2012-01-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01203121/2012	JX092629	H3N2	2012-01-05	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01203104/2011	JX092626	H3N2	2011-12-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01202978/2011	JX092623	H3N2	2011-12-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01202906/2011	JX092619	H3N2	2011-11-21	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01202905/2011	JX092618	H3N2	2011-11-21	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01202889/2011	JX092616	H3N2	2011-11-18	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01202879/2011	JX092612	H3N2	2011-11-17	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01202878/2011	JX092611	H3N2	2011-11-17	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01202867/2011	JX092610	H3N2	2011-11-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01202866/2011	JX092609	H3N2	2011-11-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01202825/2011	JX092524	H3N2	2011-11-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01202658/2011	JX092497	H3N2	2011-10-04	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01202657/2011	JX092496	H3N2	2011-10-04	Swine	Usa	North America	Swine	swine	Swine
A/swine/Michigan/A01202655/2011	JX092495	H3N2	2011-10-05	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01203248/2012	JX092643	H3N2	2012-02-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01203272/2012	JX092644	H3N2	2012-02-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A00857318a/2012	JX099416	H3N2	2012-02-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/12TOSU374/2012	KC616731	H3N2	2012-08-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01432308/2012	KC535003	H3N2	2012-12-18	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01432300/2012	KC534997	H3N2	2012-12-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Korea/CY02-07/2012	KC471396	H3N1	2012-02-07	Swine	South Korea	Japan Korea	Swine	swine	Swine
