strain	accession	subtype	date	host	country	region	species	broad	order
A/duck/Mongolia/116/2015	LC121249	H3N8	2015-08-30	Avian	Mongolia	West Asia	Duck	duck	Anseriformes
A/swine/Ohio/16TOSU3157/2016	MG739627	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/Mallard/Ohio/17OS1931/2017	MT566378	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Mallard/Ohio/17OS1939/2017	MT566254	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/blue-winged_teal/Alberta/162/2017	MH412082	H3N8	2017-08-12	Avian	Canada	North America	Blue-winged Teal	duck	Anseriformes
A/duck/Nanchang/8-174/2000	CY005468	H3N6	2000-08-13	Avian	China	China	Duck	duck	Anseriformes
A/chicken/Nanchang/7-010/2000	CY005453	H3N6	2000-07-09	Avian	China	China	Chicken	chicken	Galliformes
A/quail/Nanchang/7-026/2000	CY005460	H3N6	2000-07-09	Avian	China	China	Quail	quail	Galliformes
A/mallard/Alberta/635/1983	CY004656	H3N5	1983-08-19	Avian	Canada	North America	Mallard	duck	Anseriformes
A/pintail_duck/Alberta/169/1980	CY005050	H3N8	1980-08-05	Avian	Canada	North America	Northern Pintail	duck	Anseriformes
A/equine/Heilongjiang/SS1/2013	KC986396	H3N8	2013-02-	Equine	China	China	Equine	equine	Equine
A/canine/Korea/MV1/2012	KF155142	H3N2	2012-11-07	Canine	South Korea	Japan Korea	Canine	canine	Canine
A/shearwater/Australia/405/1978	CY005665	H3N8	1977-10-29	Avian	Australia	Oceania	Shearwater	shearwater	Neoave
A/equine/Kentucky/5/2002	AY855338	H3N8	2002-XX-XX	Equine	Usa	North America	Equine	equine	Equine
A/mallard/Alberta/118/1995	CY004699	H3N5	1995-08-01	Avian	Canada	North America	Mallard	duck	Anseriformes
A/equine/Kyonggi/SA1/2011	JX844143	H3N8	2011-07-01	Equine	South Korea	Japan Korea	Equine	equine	Equine
A/swine/France/59-120031/2012	KC345627	H3N2	2012-01-18	Swine	France	Europe	Swine	swine	Swine
A/swine/Bissendorf/IDT1864/2003	GQ161167	H3N2	2003-03-19	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Shandong/3/2005	EU116038	H3N2	2005-XX-XX	Swine	China	China	Swine	swine	Swine
A/mallard/New_York/6874/1978	CY014848	H3N2	1978-08-01	Avian	Usa	North America	Mallard	duck	Anseriformes
A/swine/Guangdong/01/1998	FJ830852	H3N2	1998-XX-XX	Swine	China	China	Swine	swine	Swine
A/duck/Vietnam/HN6479/2020	MW872903	H3N2	2020-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN6617/2020	MW872798	H3N2	2020-09-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/American_Green-Winged_Teal/Alaska/19TL00145/2019	MW872166	H3N8	2019-08-11	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/Northern_Pintail/Alaska/19TL00162/2019	MW872151	H3N8	2019-08-12	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/swine/Spain/46314-2/2020	MW848634	H3N1	2020-04-30	Swine	Spain	Europe	Swine	swine	Swine
A/Muscovy_duck/Vietnam/HN6220/2020	MW872989	H3N2	2020-04-03	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/harbor_seal/New_Hampshire/UCD179629mdck/2017	MW132366	H3N8	2017-04-05	Seal	Usa	North America	Harbor Seal	seal	Seal
A/harbor_seal/New_Hampshire/ES10B48H3/2019	MW132308	H3N8	2019-05-05	Seal	Usa	North America	Harbor Seal	seal	Seal
A/mallard/California/SL06B72maH3/2018	MW132293	H3N8	2018-10-14	Avian	Usa	North America	Mallard	duck	Anseriformes
A/harbor_seal/New_Hampshire/M11t72H3/2018	MW132257	H3N8	2018-06-14	Seal	Usa	North America	Harbor Seal	seal	Seal
A/harbor_seal/New_Hampshire/ES10B72H3/2019	MW132288	H3N8	2019-06-05	Seal	Usa	North America	Harbor Seal	seal	Seal
A/harbor_seal/New_Hampshire/M15t72H3/2018	MW132276	H3N8	2018-09-15	Seal	Usa	North America	Harbor Seal	seal	Seal
A/mallard/California/M11t72maH3/2018	MW132219	H3N8	2018-08-14	Avian	Usa	North America	Mallard	duck	Anseriformes
A/mallard/California/SL01B72maH3/2018	MW132340	H3N8	2018-06-25	Avian	Usa	North America	Mallard	duck	Anseriformes
A/duck/Vietnam/HN6425/2020	MW873031	H3N2	2020-07-03	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN6569/2020	MW873044	H3N2	2020-09-04	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN6471/2020	MW873068	H3N2	2020-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5426/2019	MW934947	H3N2	2019-04-05	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5616/2019	MW934880	H3N2	2019-06-28	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Muscovy_duck/Vietnam/HN5489/2019	MW934873	H3N2	2019-05-07	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/duck/Vietnam/HN5681/2019	MW934774	H3N2	2019-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5620/2019	MW934738	H3N2	2019-06-28	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN5684/2019	MW934699	H3N2	2019-07-29	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/swine/Guatemala/MM-160/2013	MW911597	H3N2	2013-12-	Swine	Guatemala	North America	Swine	swine	Swine
A/Muscovy_duck/Vietnam/QN6297/2020	MW873930	H3N2	2020-05-22	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/duck/Vietnam/QN6586/2020	MW873889	H3N2	2020-09-25	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Muscovy_duck/Vietnam/QN6305/2020	MW873334	H3N2	2020-05-22	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/duck/Vietnam/QN6589/2020	MW873321	H3N2	2020-09-25	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN6212/2020	MW873166	H3N2	2020-04-03	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN6219/2020	MW873150	H3N2	2020-04-03	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/HN6211/2020	MW873136	H3N2	2020-04-03	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
