strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Iowa/16TOSU2772/2016	MH283554	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01410096/2013	KJ437524	H3N2	2013-12-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01410136/2014	KJ437533	H3N2	2014-01-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Korea/PZ72-1/2006	DQ923506	H3N1	2006-XX-XX	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Korea/CN22/2006	DQ923507	H3N1	2006-XX-XX	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/Illinois/A01410110/2014	KJ437542	H3N2	2014-01-XX	Swine	Usa	North America	Swine	swine	Swine
A/harbor_seal/New_Hampshire/179629/2011	KJ467564	H3N8	2011-09-29	Seal	Usa	North America	Harbor Seal	seal	Seal
A/swine/Indiana/16TOSU2159/2016	MH283605	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01491558/2014	KJ452397	H3N2	2014-02-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/13H068/2013	KJ452392	H3N2	2013-08-28	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01290742/2013	KF922783	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01260398/2013	KF938949	H3N2	2013-10-08	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01366004/2013	KF938987	H3N2	2013-11-25	Swine	Usa	North America	Swine	swine	Swine
A/emperor_goose/Alaska/UGAI15-8463/2015	MH569311	H3N7	2015-12-17	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/emperor_goose/Alaska/UGAI15-8461/2015	MH569303	H3N7	2015-12-17	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/emperor_goose/Alaska/UGAI15-8448/2015	MH569279	H3N3	2015-12-16	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/emperor_goose/Alaska/UGAI15-8446/2015	MH569271	H3N3	2015-12-16	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/emperor_goose/Alaska/UGAI15-8445/2015	MH569263	H3N7	2015-12-15	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/emperor_goose/Alaska/UGAI15-8444/2015	MH569255	H3N7	2015-12-15	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/swine/Minnesota/A01395294/2013	KF952497	H3N2	2013-11-19	Swine	Usa	North America	Swine	swine	Swine
A/emperor_goose/Alaska/UGAI15-8440/2015	MH569247	H3N7	2015-12-15	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/emperor_goose/Alaska/UGAI15-8435/2015	MH569231	H3N7	2015-12-14	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/emperor_goose/Alaska/UGAI15-8432/2015	MH569223	H3N7	2015-12-14	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/swine/Iowa/A01365906/2013	KF918422	H3N2	2013-11-15	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01290762/2013	KF924082	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01290759/2013	KF924069	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01290778/2013	KF924047	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/emperor_goose/Alaska/UGAI15-8436/2015	MH569239	H3N7	2015-12-15	Avian	Usa	North America	Emperor Goose	goose	Anseriformes
A/swine/Minnesota/A01366050/2013	KF960691	H3N2	2013-11-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/South_Dakota/A01366063/2013	KF960694	H3N2	2013-11-29	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01395921/2013	KJ128338	H3N2	2013-12-10	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/13H081/2013	KJ452384	H3N2	2013-08-28	Swine	Usa	North America	Swine	swine	Swine
A/canine/Guangxi/L2/2013	KJ013190	H3N2	2013-05-XX	Canine	China	China	Canine	canine	Canine
A/swine/Iowa/13H075/2013	KJ452376	H3N2	2013-08-28	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/13G060/2013	KJ452368	H3N2	2013-07-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/13H082/2013	KJ452360	H3N2	2013-08-28	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01395949/2013	KJ013285	H3N2	2013-12-10	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01395831/2013	KJ013282	H3N2	2013-12-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01427136/2013	KF998034	H3N2	2013-11-04	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01427144/2013	KF982053	H3N2	2013-11-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01366992/2014	KJ460970	H3N2	2014-02-05	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01260416/2013	KJ470682	H3N2	2013-11-11	Swine	Usa	North America	Swine	swine	Swine
A/swine/USA/A01409276/2013	KF986966	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/A01409423/2013	KF986936	H3N2	2013-12-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A01290854/2013	KF986905	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01290860/2013	KF986896	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01409450/2013	KF986878	H3N2	2013-11-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/South_Dakota/A01366205/2013	KF982068	H3N2	2013-12-05	Swine	Usa	North America	Swine	swine	Swine
A/swine/South_Dakota/A01366093/2013	KF982062	H3N2	2013-12-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01395675/2013	KF977145	H3N2	2013-12-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01393671/2013	KJ128344	H3N2	2013-12-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01290680/2013	KF922828	H3N2	2013-10-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/16TOSU3066/2016	MH283609	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/A01491325/2014	KJ417887	H3N2	2014-01-27	Swine	Usa	North America	Swine	swine	Swine
A/duck/Norway/1/2003	AJ841293	H3N8	2003-XX-XX	Avian	Norway	Europe	Duck	duck	Anseriformes
A/swine/Ontario/105-56/2012	KJ413899	H3N2	2012-02-25	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/107-22/2012	KJ413901	H3N2	2012-04-15	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/114-13/2012	KJ413903	H3N2	2012-10-09	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/115-2/2012	KJ413905	H3N2	2012-10-20	Swine	Canada	North America	Swine	swine	Swine
A/swine/Inner_Mongolia/547/2001	DQ021910	H3N2	2001-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Heilongjiang/74/2000	DQ021911	H3N2	2000-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Minnesota/00395/2004	DQ145537	H3N1	2004-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ontario/42729A/01	AY619977	H3N3	2001-XX-XX	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/118-38/2012	KJ413907	H3N2	2012-12-06	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/120-55/2012	KJ413908	H3N2	2012-11-28	Swine	Canada	North America	Swine	swine	Swine
A/duck/Thailand/CU-11825C/2011	KJ161947	H3N6	2011-12-20	Avian	Thailand	Southeast Asia	Duck	duck	Anseriformes
A/swine/Ontario/K01477/01	AY619969	H3N3	2001-XX-XX	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/104-25/2012	KJ413897	H3N2	2012-01-13	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ontario/103-18/2011	KJ413895	H3N2	2011-11-23	Swine	Canada	North America	Swine	swine	Swine
A/swine/Nebraska/A01300023/2012	KJ161897	H3N2	2012-06-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Indiana/A00968359/2012	KJ161889	H3N2	2012-03-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Iowa/A01300445/2012	KJ161881	H3N2	2012-06-13	Swine	Usa	North America	Swine	swine	Swine
A/pet_bird/Hong_Kong/1559/99	AJ427304	H3N8	1999-XX-XX	Avian	Hong Kong	China	Pet Bird	avian	Avian
A/duck/Thailand/CU-11831T/2011	KJ161949	H3N6	2011-12-20	Avian	Thailand	Southeast Asia	Duck	duck	Anseriformes
A/swine/Iowa/A01366680/2014	KJ175148	H3N2	2014-01-10	Swine	Usa	North America	Swine	swine	Swine
A/aquatic_bird/Hong_Kong/399/99	AJ427297	H3N8	1999-XX-XX	Avian	Hong Kong	China	Aquatic Bird	aquatic_bird	Avian
A/turkey/England/1969	AY531037	H3N2	1969-XX-XX	Avian	United Kingdom	Europe	Turkey	turkey	Galliformes
A/swine/Illinois/A01411097/2014	KJ206109	H3N2	2014-01-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A00843193/2014	KJ206202	H3N2	2014-01-03	Swine	Usa	North America	Swine	swine	Swine
A/swine/Italy/312583/2009	KJ437631	H3N2	2009-12-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Indiana/16TOSU2233/2016	MH283610	H3N2	2016-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/A01409639/2013	KJ154109	H3N2	2013-12-XX	Swine	Usa	North America	Swine	swine	Swine
A/ruddy_turnstone/Delaware_Bay/229/2005	MH579196	H3N8	2005-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
