strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Italy/309/1983	L05218	H3N2	1983-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/635/1987	L05220	H3N2	1987-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/Chicken/Italy/5945/95	AF213911	H3N2	1995-XX-XX	Avian	Italy	Europe	Chicken	chicken	Galliformes
A/swine/Oklahoma/00606/2005	CY159732	H3N2	2005-05-04	Swine	Usa	North America	Swine	swine	Swine
A/equine/Heilongjiang/1/2011	JX629297	H3N8	2011-XX-XX	Equine	China	China	Equine	equine	Equine
A/duck/Ontario/05/00	GQ249059	H3N2	2000-XX-XX	Avian	Canada	North America	Duck	duck	Anseriformes
A/swine/Italy/66945/2006	EU091682	H3N1	2006-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/6189/1999	EU091708	H3N2	1999-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Quebec/01003/2006	CY160186	H3N2	2006-02-23	Swine	Canada	North America	Swine	swine	Swine
A/swine/North_Carolina/CD81015/2015	MW843970	H3N2	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/duck/Vietnam/OIE-3022/2011	AB779672	H3N2	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3041/2011	AB719049	H3N8	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-2577/2011	AB778266	H3N8	2011-09-17	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3287/2011	AB719904	H3N6	2011-10-05	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/swine/Italy/33271/2016	MZ262339	H3N2	2016-11-XX	Swine	Italy	Europe	Swine	swine	Swine
A/mallard/Interior_Alaska/7MP1720/2007	CY079929	H3N8	2007-09-03	Avian	Usa	North America	Mallard	duck	Anseriformes
A/swine/North_Carolina/CR168215/2015	MW843931	H3N2	2015-08-29	Swine	Usa	North America	Swine	swine	Swine
A/ruddy_turnstone/New_Jersey/UGAI17-2629/2017	MH068075	H3N2	2017-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/Swine/Italy/25823/94	AF213912	H3N2	1994-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/equine/Mongolia/1/2008	AB436908	H3N8	2008-01-XX	Equine	Mongolia	West Asia	Equine	equine	Equine
A/equine/Hokkaido/I828/2008	AB543703	H3N8	2008-04-XX	Equine	Japan	Japan Korea	Equine	equine	Equine
A/Swine/Colorado/23619/99	AF268164	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Wisconsin/14094/99	AF268162	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18089/99	AF268163	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Illinois/21587/99	AF268161	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/NorthCarolina/16497/99	AF268160	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18717/99	AF268159	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/ruddy_turnstone/New_Jersey/UGAI17-2293/2017	MH068038	H3N8	2017-05-16	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/swine/Arkansas/SG1319/2009	CY159913	H3N2	2009-01-14	Swine	Usa	North America	Swine	swine	Swine
A/duck/Vietnam/HU1-1501/2014	LC069863	H3N2	2014-09-XX	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/swine/Quebec/01000/2006	CY160168	H3N2	2006-02-23	Swine	Canada	North America	Swine	swine	Swine
A/swine/Iowa/CD81015/2015	MW839742	H3N1	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/Duck/Nanchang/9-091/2000	AY180857	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/pigeon/Nanchang/8-142/2000	AY180858	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Pigeon/Nanchang/11-045/2000	AY180850	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Duck/Nanchang/8-198/2000	AY180849	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/2-120/2001	AY180847	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/9-220/2000	AY180846	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/2-182/2001	AY180845	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Quail/Nanchang/10-028/2000	AY180842	H3N6	2000-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/10-096/2000	AY180841	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/10-383/2000	AY180839	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/12-220/2000	AY180859	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/12-280/2000	AY180899	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/1-181/2001	AY180863	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Quail/Nanchang/3-140/2001	AY180896	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Chicken/Nanchang/1-101/2001	AY180893	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/pigeon/Nanchang/9-058/2000	AY180889	H3N3	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/bantam/Nanchang/9-366/2000	AY180888	H3N3	2000-XX-XX	Avian	China	China	Bantam	fowl	Avian
A/Chicken/Nanchang/12-301/2000	AY180861	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/2-220/2001	AY180886	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/1-161/2001	AY180877	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/1-020/2001	AY180887	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Nanchang/3-201/01	AY180872	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Quail/Nanchang/2-040/2001	AY180864	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/1-100/2001	AY180876	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/8-197/2000	AY180868	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/chicken/Nanchang/3-120/2001	AY180871	H3N2	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/9-385/2000	AY180869	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/duck/Beijing/59/05	EU492497	H3N8	2005-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/canine/Beijing/295/2009	JX101407	H3N2	2009-12-14	Canine	China	China	Canine	canine	Canine
A/canine/Beijing/420/2010	JX101416	H3N2	2010-01-08	Canine	China	China	Canine	canine	Canine
A/canine/Beijing/305/2009	JX101399	H3N2	2009-12-13	Canine	China	China	Canine	canine	Canine
A/canine/Beijing/418/2010	JX101367	H3N2	2010-01-08	Canine	China	China	Canine	canine	Canine
A/canine/Beijing/364/2009	JX101375	H3N2	2009-12-17	Canine	China	China	Canine	canine	Canine
A/canine/Beijing/511/2010	JX101359	H3N2	2010-01-03	Canine	China	China	Canine	canine	Canine
A/canine/Beijing/359/2009	JX101391	H3N2	2009-12-17	Canine	China	China	Canine	canine	Canine
A/American_black_duck/Newfoundland/GR252/2011	KC492380	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/equine/Almaty/26/2007	JX306641	H3N8	2007-09-03	Equine	Kazakhstan	West Asia	Equine	equine	Equine
A/swine/Guangdong/811/2006	GU086143	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/7/2006	GU086087	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/211/2006	GU086119	H3N2	2006-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Fujian/43/2007	GU086095	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Shandong/106/2007	GU086103	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Shandong/133/2007	GU086111	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
A/American_black_duck/Newfoundland/GR490/2011	KC492412	H3N2	2011-09-14	Avian	Canada	North America	American Black Duck	duck	Anseriformes
