strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Ohio/22TOSU0438/2022	OP870624	H3N2	2022-04-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0473/2022	OP870610	H3N2	2022-04-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0468/2022	OP870873	H3N2	2022-04-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0358/2022	OP870902	H3N2	2022-04-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0255/2022	OP870915	H3N2	2022-04-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0470/2022	OP870951	H3N2	2022-04-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0261/2022	OP870976	H3N2	2022-04-09	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0441/2022	OP871019	H3N2	2022-04-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0573/2022	OP871038	H3N2	2022-05-07	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0644/2022	OP871043	H3N2	2022-05-14	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0454/2022	OP871067	H3N2	2022-04-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Illinois/21TOSU1954/2021	OP871062	H3N2	2021-06-25	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/22TOSU0476/2022	OP871146	H3N2	2022-04-30	Swine	Usa	North America	Swine	swine	Swine
A/mallard/Wisconsin/155/1980	CY180902	H3N2	1980-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/wood_duck/Wisconsin/158/1980	CY180918	H3N2	1980-XX-XX	Avian	Usa	North America	Wood Duck	duck	Anseriformes
A/swine/Ohio/10SW220/2010	CY131191	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW219/2010	CY131183	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW218/2010	CY131175	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW216/2010	CY131167	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW214/2010	CY131159	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW213/2010	CY131151	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW212/2010	CY131143	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW211/2010	CY131135	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW208/2010	CY131111	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW207/2010	CY131103	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW206/2010	CY131095	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW205/2010	CY131087	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW204/2010	CY131079	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW203/2010	CY131071	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW202/2010	CY131063	H3N2	2010-08-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW156/2010	CY131055	H3N2	2010-08-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW139/2010	CY131047	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW137/2010	CY131039	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Ohio/10SW136/2010	CY131031	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
A/green-winged_teal/Wisconsin/7/1974	CY181039	H3N2	1974-XX-XX	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/swine/Ohio/10SW135/2010	CY131023	H3N2	2010-08-12	Swine	Usa	North America	Swine	swine	Swine
