strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Papenburg/5564/2006	MK362075	H3N2	2006-09-27	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Grebenau/3887/2005	MK361701	H3N2	2005-02-15	Swine	Germany	Europe	Swine	swine	Swine
A/mallard/Ohio/17OS1752/2017	MK237803	H3N8	2017-08-07	Avian	Usa	North America	Mallard	duck	Anseriformes
A/mallard/Ohio/17OS1938/2017	MK237659	H3N8	2017-08-09	Avian	Usa	North America	Mallard	duck	Anseriformes
A/American_green-winged_teal/Missouri/17OS3188/2017	MK237858	H3N8	2017-09-09	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/swine/Huerth/3871/2005	MK361693	H3N2	2005-02-02	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Huerth/3870/2005	MK361685	H3N2	2005-02-02	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Bohmte/3856/2005	MK361677	H3N2	2005-02-03	Swine	Germany	Europe	Swine	swine	Swine
A/mallard/Wisconsin/17OS3891/2017	MK237924	H3N8	2017-10-01	Avian	Usa	North America	Mallard	duck	Anseriformes
A/swine/Kevelaer/2892/2004	MK361599	H3N2	2004-01-06	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Uedem/3024/2004	MK361607	H3N2	2004-03-12	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Delmenhorst/3025/2004	MK361615	H3N2	2004-03-11	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Appel/3339/2004	MK361630	H3N2	2004-07-05	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Hoerstel/3763/2004	MK361653	H3N2	2004-12-06	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Melle/3764/2004	MK361661	H3N2	2004-12-18	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Geseke/3766/2004	MK361669	H3N2	2004-12-22	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Sassenberg/3762/2004	MK361645	H3N2	2004-12-17	Swine	Germany	Europe	Swine	swine	Swine
A/snow_goose/Mongolia/1-44/2008	JN029674	H3N8	2008-05-XX	Avian	Mongolia	West Asia	Snow Goose	goose	Anseriformes
A/Mallard/Ohio/17OS1926/2017	MT565608	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/equine/Kostanay/9/2012	KP202388	H3N8	2012-09-XX	Equine	Kazakhstan	West Asia	Equine	equine	Equine
A/equine/Matybulak/10/2012	KP202387	H3N8	2012-10-XX	Equine	Kazakhstan	West Asia	Equine	equine	Equine
A/equine/LKZ/9/2012	KP202386	H3N8	2012-09-XX	Equine	Kazakhstan	West Asia	Equine	equine	Equine
A/equine/Baizak/09/2012	KP202385	H3N8	2012-09-XX	Equine	Kazakhstan	West Asia	Equine	equine	Equine
A/equine/Pulawy/1/2006	KM978181	H3N8	2006-06-20	Equine	Poland	Europe	Equine	equine	Equine
A/equine/Pulawy/1/2005	KM978180	H3N8	2005-02-17	Equine	Poland	Europe	Equine	equine	Equine
A/equine/Pulawy/1/2008	KM978179	H3N8	2008-04-10	Equine	Poland	Europe	Equine	equine	Equine
A/swine/Brazil/365-11-7/2011	KM507515	H3N2	2011-11-10	Swine	Brazil	South America	Swine	swine	Swine
A/mallard/Jiangxi/1-4/2010	CY098266	H3N2	2010-01-16	Avian	China	China	Mallard	duck	Anseriformes
A/swine/Indiana/13TOSU5095/2013	KM186066	H3N2	2013-08-31	Swine	Usa	North America	Swine	swine	Swine
